Statement,Link,Date, Source, Label
A registered nurse in Nashville^ Tenn.^ developed Bell’s Palsy after receiving the COVID-19 vaccine.,https://www.politifact.com/factchecks/2020/dec/30/youtube-videos/nashville-nurse-did-not-develop-bells-palsy-after-/,mber 30^ 2020,YouTube videos,false
“In my state^ as in many other states^ we have governors who are closing down businesses again.”,https://www.politifact.com/factchecks/2020/dec/30/pat-toomey/fact-checking-sen-pat-toomeys-comment-pa-gov-tom-w/,mber 30^ 2020,Pat Toomey,true
North Carolina Gov. Roy Cooper "has not left the Governor's Mansion since the start of the #COVID19 crisis.",https://www.politifact.com/factchecks/2020/dec/30/north-carolina-republican-party/nc-gop-wrong-about-roy-cooper-staying-mansion/,mber 29^ 2020,North Carolina Republican Party,pants-fire
The Christmas Day explosion in Nashville^ Tenn.^ was the result of a “missile strike.”,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/nashville-explosion-was-suicide-bombing-not-missil/,mber 29^ 2020,Facebook posts,pants-fire
News outlets reported that the Nashville bomber died of COVID-19.,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/man-behind-nashville-bombing-was-killed-blast-no-n/,mber 29^ 2020,Facebook posts,pants-fire
The Nashville bombing was an attempt to stop an AT&T audit into Dominion software and cover up election corruption.,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/no-t-was-not-conducting-audit-dominion-voting-syst/,mber 29^ 2020,Facebook posts,pants-fire
Cornell University professor Robert Oswald said “COVID-19 was imaginary and fictitious.”,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/cornell-virologist-did-not-say-covid-19-was-hoax/,mber 29^ 2020,Facebook posts,pants-fire
Says a recent study found no asymptomatic or presymptomatic spread of COVID.,https://www.politifact.com/factchecks/2020/dec/28/facebook-posts/no-recent-study-didnt-find-no-asymptomatic-spread-/,mber 28^ 2020,Facebook posts,barely-true
Says “Dr. Fauci lied about masks in March.”,https://www.politifact.com/factchecks/2020/dec/28/marco-rubio/marco-rubio-says-anthony-fauci-lied-about-masks-fa/,mber 28^ 2020,Marco Rubio,false
“HIDDEN in the 5^893 page bill that @realDonaldTrump is anticipated to VETO is a provision that says: "Nullifies the President's use of the Insurrection Act.",https://www.politifact.com/factchecks/2020/dec/23/chuck-callesto/covid-19-bill-does-not-nullify-presidents-use-insu/,mber 23^ 2020,Chuck Callesto,false
